user_id,user_name,age,gender,country,registration_date,premium
1,pocztanatan,53,F,Lithuania,2025-09-02,True
2,ezmyslony,18,F,Poland,2025-07-24,False
3,linkaoliwier,29,M,Germany,2025-03-10,True
4,jantondera,26,F,Germany,2025-10-04,True
5,angelika26,34,F,Lithuania,2026-04-01,True
6,gciuba,61,M,Slovakia,2024-07-20,False
7,slawikangelika,21,M,Poland,2024-10-13,True
8,krystkowiakmariusz,67,F,Poland,2024-11-27,True
9,kaziorkalina,47,F,Germany,2025-09-12,True
10,agnieszkaszymajda,63,M,Slovakia,2025-02-28,True
11,kacper27,32,M,Lithuania,2025-11-27,False
12,aprygiel,30,F,Germany,2026-01-04,False
13,antonwitold,55,M,Slovakia,2025-04-06,False
14,borys24,32,M,Poland,2025-07-04,True
15,adamniklewicz,42,F,Lithuania,2024-12-25,False
16,bartekkopij,57,M,Ukraine,2025-06-03,False
17,zkasiak,42,F,Germany,2026-02-17,True
18,eborzym,54,M,Ukraine,2024-09-19,True
19,nataniel61,64,M,Poland,2025-11-16,False
20,michal90,18,F,Poland,2025-06-26,False
21,ugeca,39,F,Ukraine,2026-02-17,False
22,poglaza,53,F,Poland,2025-09-12,False
23,aleks22,45,F,Slovakia,2025-08-13,True
24,llemanowicz,65,F,Czech Republic,2024-12-14,True
25,hubertzbiciak,44,M,Slovakia,2024-10-04,False
26,bsass,51,M,Lithuania,2026-04-22,False
27,dejada,33,M,Slovakia,2025-11-27,True
28,armatatymon,38,F,Lithuania,2026-04-02,True
29,apoloniameler,22,F,Poland,2025-06-27,True
30,mariusz93,54,F,Ukraine,2024-11-08,True
31,nicolelejman,47,F,Germany,2025-12-14,True
32,ewakosc,34,M,Czech Republic,2025-02-06,False
33,hchoina,59,M,Czech Republic,2024-07-24,False
34,julian45,45,M,Germany,2026-06-30,False
35,sebastianlokaj,63,F,Ukraine,2025-09-01,True
36,ltadych,42,F,Lithuania,2026-03-16,False
37,grubbatomasz,39,F,Lithuania,2026-06-02,True
